PROFILE,STORAGE_SYSTEM,STORAGE_POOL,VOLUME_NAME,VOLUME_SIZE,san_connection_A,san_connection_B,os_host_type,LUN_ID
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA20,120,hba0,hba1,VMware (ESXi)',26
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA21,120,hba0,hba1,VMware (ESXi)',27
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA22,120,hba0,hba1,VMware (ESXi)',28
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA23,120,hba0,hba1,VMware (ESXi)',29
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA24,120,hba0,hba1,VMware (ESXi)',30
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA25,120,hba0,hba1,VMware (ESXi)',31
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA26,120,hba0,hba1,VMware (ESXi)',32
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA27,120,hba0,hba1,VMware (ESXi)',33
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA28,120,hba0,hba1,VMware (ESXi)',34
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA29,120,hba0,hba1,VMware (ESXi)',35
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA30,120,hba0,hba1,VMware (ESXi)',36
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA31,120,hba0,hba1,VMware (ESXi)',37
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA32,120,hba0,hba1,VMware (ESXi)',38
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA33,120,hba0,hba1,VMware (ESXi)',39
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DATA34,120,hba0,hba1,VMware (ESXi)',40
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_DIAGLOGS,120,hba0,hba1,VMware (ESXi)',41
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_LOGS5,2048,hba0,hba1,VMware (ESXi)',42
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_MISCDATA1,125,hba0,hba1,VMware (ESXi)',43
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_MISCDATA2,125,hba0,hba1,VMware (ESXi)',44
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_MISCLOGS1,50,hba0,hba1,VMware (ESXi)',45
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_USERDB_MISCLOGS2,100,hba0,hba1,VMware (ESXi)',46
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_SYSTEMDB_MSSQL,20,hba0,hba1,VMware (ESXi)',47
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA1,12,hba0,hba1,VMware (ESXi)',48
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA2,12,hba0,hba1,VMware (ESXi)',49
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA3,12,hba0,hba1,VMware (ESXi)',50
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA4,12,hba0,hba1,VMware (ESXi)',51
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA5,12,hba0,hba1,VMware (ESXi)',52
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA6,12,hba0,hba1,VMware (ESXi)',53
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA7,12,hba0,hba1,VMware (ESXi)',54
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA8,12,hba0,hba1,VMware (ESXi)',55
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA9,12,hba0,hba1,VMware (ESXi)',56
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA10,12,hba0,hba1,VMware (ESXi)',57
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA11,12,hba0,hba1,VMware (ESXi)',58
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA12,12,hba0,hba1,VMware (ESXi)',59
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA13,12,hba0,hba1,VMware (ESXi)',60
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA14,12,hba0,hba1,VMware (ESXi)',61
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA15,12,hba0,hba1,VMware (ESXi)',62
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA16,12,hba0,hba1,VMware (ESXi)',63
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA17,12,hba0,hba1,VMware (ESXi)',64
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA18,12,hba0,hba1,VMware (ESXi)',65
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA19,12,hba0,hba1,VMware (ESXi)',66
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPDATA20,12,hba0,hba1,VMware (ESXi)',67
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TEMPLOG1,100,hba0,hba1,VMware (ESXi)',68
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_R_TEMPDB_TESTLOG1,1024,hba0,hba1,VMware (ESXi)',69
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_USERDB_DATA1,100,hba0,hba1,VMware (ESXi)',70
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_USERDB_DATA2,100,hba0,hba1,VMware (ESXi)',71
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_USERDB_DATA3,100,hba0,hba1,VMware (ESXi)',72
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_USERDB_DATA4,100,hba0,hba1,VMware (ESXi)',73
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_USERDB_LOGS1,210,hba0,hba1,VMware (ESXi)',74
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_SYSTEMDB_MSSQL,2,hba0,hba1,VMware (ESXi)',75
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA1,10,hba0,hba1,VMware (ESXi)',76
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA2,10,hba0,hba1,VMware (ESXi)',77
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA3,10,hba0,hba1,VMware (ESXi)',78
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA4,10,hba0,hba1,VMware (ESXi)',79
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA5,10,hba0,hba1,VMware (ESXi)',80
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA6,10,hba0,hba1,VMware (ESXi)',81
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA7,10,hba0,hba1,VMware (ESXi)',82
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPDATA8,10,hba0,hba1,VMware (ESXi)',83
A2Q4-WLOYDB01N,ThreePAR-2,CPG-SSD,A2Q4-WLOYDBCL_S_TEMPDB_TEMPLOGS1,20,hba0,hba1,VMware (ESXi)',84
